CodProducto;Nombre;Presentacion;Laboratorio;Ubicacion;Exento;Excluido;NoGravado;Gravado;Costo;ContenidoIntCaja;ContenidoIntBlister;ContenidoIntUnidad;Iva;InventarioCaja;InventarioBlister;InventarioUnidad;CostoCaja;CostoBlister;CostoUnidad;ValorIvaCaja;ValorIvaBlister;ValorIvaUnidad;CostoTotal;CostoTotalIva;VentaTotal;Sucursal;CodigoBarras;PrecioUnidad;PrecioCaja;PrecioBlister;IdProducto
000103912;POLVO COMPAC. ANA MARIA SURT;UND;PRODUCTOS DE BELLEZA ANA MARIA;MAQUILLAJE;0.00;0.00;0.00;43828.00;10957.00;1;0;0;19;4;0;0;43828.00;0.00;0.00;8327.32;0.00;0.00;43828.00;52155.32;59600.00;30572;NULL;0.00;14900.00;0.00;9557
000103912;POLVO COMPAC. ANA MARIA SURT;UND;PRODUCTOS DE BELLEZA ANA MARIA;MAQUILLAJE;0.00;0.00;0.00;137641.32;11470.11;1;0;0;19;12;0;0;137641.32;0.00;0.00;26151.85;0.00;0.00;137641.32;163793.17;178800.00;30572;NULL;0.00;14900.00;0.00;9557
000103912;POLVO COMPAC. ANA MARIA SURT;UND;PRODUCTOS DE BELLEZA ANA MARIA;MAQUILLAJE;0.00;0.00;0.00;130625.00;11875.00;1;0;0;19;11;0;0;130625.00;0.00;0.00;24818.75;0.00;0.00;130625.00;155443.75;163900.00;30572;NULL;0.00;14900.00;0.00;9557
000104421;Base Hidratante Almendra No 1;UND;PRODUCTOS DE BELLEZA ANA MARIA;MAQUILLAJE;0.00;0.00;0.00;18525.00;18525.00;1;0;0;19;1;0;0;18525.00;0.00;0.00;3519.75;0.00;0.00;18525.00;22044.75;24500.00;30572;NULL;0.00;24500.00;0.00;10850
000104422;Base Hidratante Arena No 2;UND;PRODUCTOS DE BELLEZA ANA MARIA;MAQUILLAJE;0.00;0.00;0.00;16872.33;16872.33;1;0;0;19;1;0;0;16872.33;0.00;0.00;3205.74;0.00;0.00;16872.33;20078.07;24500.00;30572;NULL;0.00;24500.00;0.00;9547
000104423;Base Hidratante Beige No 3;UND;PRODUCTOS DE BELLEZA ANA MARIA;MAQUILLAJE;0.00;0.00;0.00;37050.00;18525.00;1;0;0;19;2;0;0;37050.00;0.00;0.00;7039.50;0.00;0.00;37050.00;44089.50;45600.00;30572;NULL;0.00;22800.00;0.00;10851
000104424;Base Hidratante Bronce No 4;UND;PRODUCTOS DE BELLEZA ANA MARIA;MAQUILLAJE;0.00;0.00;0.00;16856.00;16856.00;1;0;0;19;1;0;0;16856.00;0.00;0.00;3202.64;0.00;0.00;16856.00;20058.64;24500.00;30572;NULL;0.00;24500.00;0.00;9548
000104425;Base Hidratante Sandalo No 5;UND;PRODUCTOS DE BELLEZA ANA MARIA;MAQUILLAJE;0.00;0.00;0.00;33744.66;16872.33;1;0;0;19;2;0;0;33744.66;0.00;0.00;6411.49;0.00;0.00;33744.66;40156.15;49000.00;30572;NULL;0.00;24500.00;0.00;9549
000105073;Lapiz De Ojos Bronce Kaloe;UND;PRODUCTOS DE BELLEZA ANA MARIA;MAQUILLAJE;0.00;0.00;0.00;3895.00;3895.00;1;0;0;19;1;0;0;3895.00;0.00;0.00;740.05;0.00;0.00;3895.00;4635.05;5000.00;30572;NULL;0.00;5000.00;0.00;9555
0113;GEL ANTIBACTERIAL 32ML;AMP;N/A;HOSPITALARIOS;6880.00;0.00;0.00;0.00;1720.00;1;0;0;0;4;0;0;6880.00;0.00;0.00;0.00;0.00;0.00;6880.00;6880.00;12000.00;30572;NULL;4000.00;3000.00;0.00;12183
