CodProducto;Nombre;Presentacion;Laboratorio;Ubicacion;Exento;Excluido;NoGravado;Gravado;Costo;ContenidoIntCaja;ContenidoIntBlister;ContenidoIntUnidad;Iva;InventarioCaja;InventarioBlister;InventarioUnidad;CostoCaja;CostoBlister;CostoUnidad;ValorIvaCaja;ValorIvaBlister;ValorIvaUnidad;CostoTotal;CostoTotalIva;VentaTotal;Sucursal;CodigoBarras;PrecioUnidad;PrecioCaja;PrecioBlister;IdProducto
.7702189053442;GALLETAS  CHOKIS (SURTIDO);BOLSA;N/A ;DULCES;0.00;0.00;0.00;690.00;4140.00;12;0;1;19;0;0;2;0.00;0.00;690.00;0.00;0.00;131.10;690.00;821.10;2000.00;30569;NULL;1000.00;6200.00;0.00;10712
004;CAJA BISTURI PEQUEÑA;UNIDAD;N/A ;PAPELERIA;12000.00;0.00;0.00;0.00;3000.00;1;0;0;0;4;0;0;12000.00;0.00;0.00;0.00;0.00;0.00;12000.00;12000.00;17200.00;30569;NULL;0.00;4300.00;0.00;8447
007;CORRECTOR 12 UDS;UNIDAD;N/A ;PAPELERIA;1833.34;0.00;0.00;0.00;11000.00;12;0;1;0;0;0;2;0.00;0.00;1833.34;0.00;0.00;0.00;1833.34;1833.34;2800.00;30569;NULL;1400.00;15800.00;0.00;8451
0114;TIJERAS DE DOBLAR;CAJA;N/A ;MAQUILLAJE/ESMALTES;4124.97;0.00;0.00;0.00;11000.00;24;0;1;0;0;0;9;0.00;0.00;4124.97;0.00;0.00;0.00;4124.97;4124.97;9000.00;30569;NULL;1000.00;18900.00;0.00;11132
0194;SONAJERO CAMPANA;N/A;N/A ;OFERTAS/PROMOCION;0.00;0.00;0.00;1529.00;1529.00;1;0;0;19;1;0;0;1529.00;0.00;0.00;290.51;0.00;0.00;1529.00;1819.51;3700.00;30569;NULL;0.00;3700.00;0.00;10520
036600813719;CHAPSTICK CEREZA;UNIDAD;N/A ;GANCHERA ;0.00;0.00;0.00;7801.50;7801.50;1;0;0;19;1;0;0;7801.50;0.00;0.00;1482.29;0.00;0.00;7801.50;9283.79;11500.00;30569;NULL;0.00;11500.00;0.00;7830
036600814013;CHAPSTICK FRESA;UNIDAD;N/A ;GANCHERA ;0.00;0.00;0.00;7801.00;7801.00;1;0;0;19;1;0;0;7801.00;0.00;0.00;1482.19;0.00;0.00;7801.00;9283.19;11500.00;30569;NULL;0.00;11500.00;0.00;7831
036600814617;CHAPSTICK MENTA;UNIDAD;N/A ;GANCHERA ;0.00;0.00;0.00;15602.00;7801.00;1;0;0;19;2;0;0;15602.00;0.00;0.00;2964.38;0.00;0.00;15602.00;18566.38;23000.00;30569;NULL;0.00;11500.00;0.00;7834
039800014009;PILA ENERGIZER AAA;UNIDAD;N/A ;GANCHERA ;0.00;0.00;0.00;5901.00;2950.50;1;0;0;19;2;0;0;5901.00;0.00;0.00;1121.19;0.00;0.00;5901.00;7022.19;8800.00;30569;NULL;0.00;4400.00;0.00;9333
039800015464;PILA ENERGIZER MAX AA;CAJA;N/A ;GANCHERA ;0.00;0.00;0.00;2950.50;2950.50;1;0;0;19;1;0;0;2950.50;0.00;0.00;560.60;0.00;0.00;2950.50;3511.10;4400.00;30569;NULL;0.00;4400.00;0.00;9332
040000514251;SNICKERS  CHOCOLATINA;UNIDAD;N/A ;DULCES;0.00;0.00;0.00;17337.96;1444.83;1;0;0;19;12;0;0;17337.96;0.00;0.00;3294.21;0.00;0.00;17337.96;20632.17;30000.00;30569;NULL;0.00;2500.00;0.00;10823
040000514251;SNICKERS  CHOCOLATINA;UNIDAD;N/A ;DULCES;0.00;0.00;0.00;1444.83;1444.83;1;0;0;19;1;0;0;1444.83;0.00;0.00;274.52;0.00;0.00;1444.83;1719.35;2500.00;30569;NULL;0.00;2500.00;0.00;10823
040000514510;M&M PEANUT;UNIDAD;N/A ;DULCES;0.00;0.00;0.00;1645.67;1645.67;1;0;0;19;1;0;0;1645.67;0.00;0.00;312.68;0.00;0.00;1645.67;1958.34;3000.00;30569;NULL;0.00;3000.00;0.00;12370
041333000992;PILA DURACELL C REDONDA;N/A;N/A ;GANCHERA ;0.00;0.00;0.00;11390.00;11390.00;1;0;0;19;1;0;0;11390.00;0.00;0.00;0.00;0.00;0.00;11390.00;11390.00;15900.00;30569;NULL;0.00;15900.00;0.00;11803
041333431482;PILA DURACEELL AAA;AMPOLLA;N/A ;GANCHERA ;0.00;0.00;0.00;5331.16;15993.50;6;0;1;19;0;0;2;0.00;0.00;5331.16;0.00;0.00;1012.92;5331.16;6344.08;6800.00;30569;NULL;3400.00;20100.00;0.00;7802
06;SEPA.CALADRYL LOCION 100ML;AMPOLLA;N/A ;OFERTAS/PROMOCION;9644.00;0.00;0.00;0.00;9644.00;1;0;0;0;1;0;0;9644.00;0.00;0.00;0.00;0.00;0.00;9644.00;9644.00;11300.00;30569;NULL;0.00;11300.00;0.00;11324
070;GYNOCANESTEN CREMA VAGINAL;UNIDAD;N/A ;ETICOS;17387.00;0.00;0.00;0.00;17387.00;1;0;0;0;1;0;0;17387.00;0.00;0.00;0.00;0.00;0.00;17387.00;17387.00;20500.00;30569;NULL;0.00;20500.00;0.00;12328
070847004707;MONSTER GREN LATA (SURTIDO) 473ML;AMPOLLA;N/A ;COCA-COLA;24590.00;0.00;0.00;0.00;4918.00;1;0;0;0;5;0;0;24590.00;0.00;0.00;0.00;0.00;0.00;24590.00;24590.00;30000.00;30569;NULL;0.00;6000.00;0.00;13135
