CodProducto;Nombre;ContenidoInternoCaja;ContenidoInternoBlister;ContenidoInternoUnidad;ValorCajaContado;ValorBlisterContado;ValorUnidadContado;InventarioCaja;InventarioBlister;InventarioUnidad
100009050;PEDIAVIT ZINC GOTAS 10 ML;1;0;0;20900.00;.00;11084.00;9;0;0
100000041;DAYAMINERAL E JARABE 240 ML;1;0;0;46600.00;.00;.00;6;0;0
100002078;MICROFEMIN 21 TABLETAS;1;0;0;14600.00;.00;.00;1;0;0
100005437;MICROGYNON SUAVE 21 GRAGEAS;1;0;0;7900.00;.00;1500.00;24;0;0
100003938;LUMBAL 48 TABLETAS;48;8;6;68300.00;10900.00;1800.00;11;32;10
100009760;NOFERTYL AMPOLLA 1 ML C/JERINGA;1;0;0;16900.00;.00;.00;128;0;0
100004130;3CEBION MASTICABLE NARANJA 100 TABLETAS;100;10;10;48900.00;5000.00;11111111.00;3;11;0
100001739;IBUPROFENO 800 MG 50 TABLETAS GF;50;5;10;15500.00;3700.00;4500.00;15;5;13
100007790;METRONIDAZOL 500 MG 100 TABLETAS GF;100;10;10;24900.00;3000.00;111111.00;4;16;0
100001749;KETOPROFENO 100 MG 30 TABLETAS GF;1;0;0;19800.00;7900.00;800.00;3;1;0
100006372;SULFADIAZINA DE PLATA 30 GR GF;1;0;0;9900.00;.00;.00;1;0;0
100001421;COMPLEJO B 250 TABLETAS EC;25;0;1;36900.00;1500.00;1000.00;20;90;41
100001446;VITAMINA B12 1 ML 25 AMPOLLAS EC;25;0;1;98600.00;.00;5900.00;3;0;81
100001422;COMPLEJO B 10 ML AMPOLLA EC;1;0;0;11500.00;.00;.00;17;0;0
100007765;COLCHIMEDIO 40 TABLETAS;1;0;0;44500.00;10900.00;1200.00;8;2;0
100005942;PIROXICAM 20 MG 10 CAPSULAS MK;1;0;0;4000.00;.00;500.00;18;0;0
100005812;CREMA # 4 20 GR;1;0;0;7500.00;.00;.00;46;0;0
100007896;UROCUAD 300 MG 30 TABLETAS;1;0;0;27900.00;9900.00;1000.00;8;0;0
100000979;NIFLAMIN PL FORTE 15 MG 5 CAPSULAS;5;0;1;31900.00;.00;6500.00;0;0;4
100003786;YODOSILATO GDE;1;0;0;5900.00;.00;.00;3;0;0
100006050;CALADRYL CLEAR 100 ML;1;0;0;22500.00;.00;.00;10;0;0
100005938;PANGETAN NF 100 TABLETAS;100;25;4;165500.00;6700.00;2500.00;1;48;6
100005756;AZITROMICINA 200 MG SUSPENSION 15 ML MK;1;0;0;13900.00;.00;.00;3;0;0
100006143;ADV. MAREOL 72 TABLETAS;72;6;12;33900.00;5900.00;600.00;4;17;47
100007847;EUTIROX 100 MCG 50 TABLETAS;1;0;0;62800.00;.00;.00;3;0;0
