ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1
,variable,100006955,IBUPROFENO 800 MG 50 TABLETAS AG,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100006955-Blister,IBUPROFENO 800 MG 50 TABLETAS AG - Blister,1,,visible,,,,,,,1,2,,,,,,,,,,,3800.00,,,,,,,100006955,,,,,,1,Presentacion,Blister,,
,variation,100006955-Unidad,IBUPROFENO 800 MG 50 TABLETAS AG - Unidad,1,,visible,,,,,,,1,12,,,,,,,,,,,500.00,,,,,,,100006955,,,,,,1,Presentacion,Unidad,,
,simple,200039286,ROXIDIL MASTIC.VIT.C+ZINC FRESA 100 TBS,1,,visible,,,,,,,1,4,,,,,,,,,,,4000.00,,,,,,,,,,,,,,,,,
,variable,200036523,CURAS ESTANDAR NEXCARE 100 UDS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,200036523-Caja,CURAS ESTANDAR NEXCARE 100 UDS - Caja,1,,visible,,,,,,,1,1,,,,,,,,,,,9800.00,,,,,,,200036523,,,,,,1,Presentacion,Caja,,
,variation,200036523-Unidad,CURAS ESTANDAR NEXCARE 100 UDS - Unidad,1,,visible,,,,,,,1,25,,,,,,,,,,,100.00,,,,,,,200036523,,,,,,1,Presentacion,Unidad,,
,simple,7703712030350,IBUPROFENO 800 MG X 60 TBS COASPHA,1,,visible,,,,,,,1,2,,,,,,,,,,,14900.00,,,,,,,,,,,,,,,,,
,variable,7703712030718,AMOXICILINA 500 MG 100 CAPSULAS COASPHARMA,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,7703712030718-Caja,AMOXICILINA 500 MG 100 CAPSULAS COASPHARMA - Caja,1,,visible,,,,,,,1,2,,,,,,,,,,,46900.00,,,,,,,7703712030718,,,,,,1,Presentacion,Caja,,
,variation,7703712030718-Blister,AMOXICILINA 500 MG 100 CAPSULAS COASPHARMA - Blister,1,,visible,,,,,,,1,2,,,,,,,,,,,4900.00,,,,,,,7703712030718,,,,,,1,Presentacion,Blister,,
,simple,100020023,LOSARTAN 50 MG 300 TBS ECAR,1,,visible,,,,,,,1,14,,,,,,,,,,,3500.00,,,,,,,,,,,,,,,,,
,variable,100001910,DOLEX 500 MG 100 TABLETAS,1,,visible,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Presentacion,"Caja, Blister, Unidad",,
,variation,100001910-Blister,DOLEX 500 MG 100 TABLETAS - Blister,1,,visible,,,,,,,1,3,,,,,,,,,,,5500.00,,,,,,,100001910,,,,,,1,Presentacion,Blister,,
,variation,100001910-Unidad,DOLEX 500 MG 100 TABLETAS - Unidad,1,,visible,,,,,,,1,5,,,,,,,,,,,600.00,,,,,,,100001910,,,,,,1,Presentacion,Unidad,,
